Name	Onset subduction (Ma)	Onset deformation (Ma)	Termination deformation (Ma)	Subduction Duration (Myr)	Deformation duration (Myr)	Type (accretion acc; collision, coll)
Oubanguides (Cameroon)	700	615	590	85	25	coll
Baikalian	750	620	550	130	70	coll
Brasilia 1	860	620	570	240	50	coll
Uralian 1	750	620	550	130	70	coll
Hoggar	750	630	580	120	50	coll
Brasilia 2	800	640	600	160	40	coll
Central African	740	650	590	90	60	coll
Dom Feliciano 1	700	650	590	50	60	coll
East African	750	650	600	100	50	coll
Mauritanides	675	650	590	25	60	coll
Anti-Atlas	750	654	545	96	109	coll
West African	850	670	650	180	20	coll
SW Tarim	900	820	780	80	40	coll
Jiangnan	930	820	750	110	70	coll
Arctic	1250	960	930	290	30	coll
Valhalla	1030	980	910	50	70	coll
Kibaran	1420	1000	950	420	50	coll
Irumides	1100	1010	950	90	60	coll
Namaqua-Natal	1300	1050	1000	250	50	coll
Makkovikian-Labradorian-Grenville	1750	1080	980	670	100	coll
Amazonia (Sunsas)	2030	1100	1000	930	100	coll
Baltica (Svecofennian-Sveconorwegian)	1920	1140	1110	780	30	coll
Shawinigan, N Blueridge province	1650	1153	1078	497	75	coll
Amazonia (Oaxaquia)	2030	1160	1080	870	80	coll
Penokean-Yavapai-Mazatzal	1900	1200	1120	700	80	coll
Albany-Fraser	1750	1330	1260	420	70	coll
Musgrave (Mt West)	1700	1345	1293	355	52	coll
Olarian	1700	1580	1540	120	40	acc
Kimban	1850	1740	1700	110	40	coll
Volyn Central Russian	1900	1800	1780	100	20	coll
Tennant	1862	1825	1800	37	25	coll
Yapungku	1860	1830	1760	30	70	coll
TransHudson	1980	1850	1800	130	50	coll
Halls Creek	1900	1850	1820	50	30	coll
Tanami	1870	1850	1830	20	20	coll
Cornian	2000	1865	1845	135	20	coll
Torngat	1940	1869	1844	71	25	coll
Aravalli	2200	1870	1850	330	20	coll
New Quebec	2170	1870	1815	300	55	coll
Nagssugtoqidian	1920	1870	1840	50	30	coll
Foxe	1900	1870	1850	30	20	coll
Ubendian	2000	1880	1850	120	30	coll
Trans-North China	2200	1890	1850	310	40	coll
Sutam (Central Aldan)	2200	1900	1850	300	50	coll
Akitkan	2060	1900	1870	160	30	coll
Lapland Granulite belt	2000	1920	1870	80	50	coll
Inglefield	2100	1950	1920	150	30	coll
Thelon	2050	1960	1910	90	50	coll
Glenburgh	2100	1965	1940	135	25	coll
Taltson	2100	1970	1930	130	40	coll
Volga-Don (Pachelma)	2100	2050	2000	50	50	coll
Limpopo	2080	2060	1970	20	90	coll
Tandilia	2250	2065	2020	185	45	coll
Birimian-Transamazonian	2200	2100	2050	100	50	coll
Salvador-Itabuna-Curaçá	2400	2180	2100	220	80	coll
Arrowsmith	2550	2350	2280	200	70	coll
Neto Rodrigues, Uruguay	2600	2480	2440	120	40	coll
Commonwealth Bay, Antarctica	2600	2500	2420	100	80	coll
MacQuoid, Rae Province	2700	2560	2500	140	60	coll
